year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
1962,1,4.9,12.1,-9.4,7.8,2,41.1,-10.9,13.5,60,69
1962,2,5.4,11.4,-1.6,8.1,2.7,26.7,-3.6,15.3,64,46.5
1962,3,3.5,13.3,-6.3,6.8,0.2,53.6,-9.1,9.8,56,128.8
1962,4,7.5,16.2,0.8,10.9,4.1,40.8,-3.2,10.6,47,193.3
1962,5,10,18.2,2.2,13.9,6.1,56.8,-1.8,9.6,45,212.5
1962,6,12.4,21.3,1.5,16.7,8.1,24.9,-1.4,10.1,55,202.8
1962,7,13.7,21.4,4.8,16.9,10.5,68,2.9,8.4,37,125.4
1962,8,13.7,19.9,6.9,17.3,10,73.1,2.9,10.4,51,161.1
1962,9,11.8,18.9,3.4,15.2,8.5,129.2,-1.1,9,54,87
1962,10,10.4,16.8,0.7,13.6,7.2,16.8,-1.6,8.4,49,120.6
1962,11,6.6,12.7,-1.6,9,4.2,47.9,-3.2,9.8,55,44.3
1962,12,4.8,12.8,-3.3,7.3,2.4,75.3,-6.9,13.4,71,57.3
1963,1,0.9,7.1,-6.7,2.9,-1.1,41.1,-11,13,50,58.4
1963,2,1.9,6.8,-4.6,4.1,-0.3,61.9,-7.6,13,52,61.1
1963,3,6.6,13.3,-1.2,9.9,3.4,65.2,-5.4,12.6,54,115.5
1963,4,7.9,16.4,-1.6,11.2,4.7,47,-4.4,11.6,52,111.7
1963,5,9.6,17.3,2.3,13.4,5.9,42,-0.6,12.2,48,183.5
1963,6,13.2,21.7,6.6,16.8,9.7,54.3,4.6,9.6,45,203.2
1963,7,13.9,22.9,6.2,17.4,10.4,23.5,2.7,7.8,35,156.6
1963,8,13.6,20.9,6.2,17.2,10.1,103.1,3.7,10.4,45,133.8
1963,9,12.2,21.1,4,16,8.4,44.9,2.4,9.6,49,148.4
1963,10,11,17.2,3.1,14.2,7.8,47.6,-0.6,11.8,46,82.5
1963,11,7.7,13.1,-0.3,10.5,4.9,95.9,-5.7,12.6,59,81.3
1963,12,5,12,-4.6,7.1,2.9,16.4,-7.2,12.2,49,52.8
1964,1,6.1,11.4,0,8.3,3.9,14.8,-3.8,9.8,50,34.4
1964,2,5.3,13.4,-3.4,7.7,2.9,28.3,-6.7,12.9,47,70.2
1964,3,5.5,11.6,-0.4,7.8,3.2,106.6,-4.9,10.5,47,65.7
1964,4,8.2,14.6,-0.3,11.6,4.9,62.3,-3.4,10.8,42,139.9
1964,5,11.9,18.6,4.7,15.6,8.1,45.4,2.8,11.1,49,189.9
1964,6,13,22.1,4.4,16.3,9.6,51,3,10,42,144.2
1964,7,15.1,21.7,5.6,18.6,11.6,47.4,3.9,9.6,47,153.9
1964,8,14.5,22.8,4.9,18,10.9,81.3,2.7,8.6,43,170.9
1964,9,13.6,21.1,4.3,17.1,10.2,51.7,2.4,9.6,47,151
1964,10,9.2,16.8,-0.4,12.3,6.1,62.3,-1.1,8.1,45,83.6
1964,11,8,14.4,-1.7,10.8,5.2,26.2,-5.6,10.1,48,84.9
1964,12,4.9,13.1,-2.8,7.7,2.1,111.8,-6.9,11.6,68,55.5
1965,1,3.9,12.3,-3.5,6.5,1.3,97.3,-5.6,13,73,69.8
1965,2,4.1,10.2,-1.6,6.6,1.7,4.7,-6.1,8.3,48,50
1965,3,6,21.3,-6.7,9.2,2.8,54.6,-7.7,11.2,49,127.4
1965,4,8.3,15.3,1.7,11.8,4.8,45.4,-4.8,11.4,60,182.5
1965,5,10.9,19.2,1.4,14.4,7.3,51.9,-2.8,9.1,44,154.1
1965,6,13.6,20.2,4.2,17.3,9.9,72.9,0.1,8.8,52,189.6
1965,7,13.1,19.4,5.2,16.5,9.7,79.2,3.4,8.4,44,133.2
1965,8,14.2,21.3,6.9,17.9,10.5,55.4,4,10,42,166.5
1965,9,11.8,20.6,4.7,15.2,8.4,67.7,-0.3,8.8,41,103.9
1965,10,11.2,17.3,3,14,8.4,41.4,0.4,8.8,48,89.7
1965,11,5.3,12.8,-2.5,7.9,2.6,182.3,-4.9,12.7,59,75.7
1965,12,5,13.5,-4.9,7.8,2.3,97.1,-5.4,11.7,53,76.9
1966,1,5,12.4,-1.8,6.5,3.5,94.6,-3.6,11.8,51,25.2
1966,2,6.4,13.1,0.7,8.4,4.4,114.5,0.5,13.1,50,54.9
1966,3,7.2,13.8,-2.1,10.7,3.8,40.2,-5.8,12.1,55,125
1966,4,7,17.2,-0.5,9.6,4.3,151.8,-5.4,12.7,45,103.3
1966,5,10.8,22.3,3,14.9,6.7,52.3,-0.1,9.4,56,246.3
1966,6,14.3,23.1,8.3,17.7,10.9,119.5,6.3,7.8,40,146.3
1966,7,14.4,23.5,6.5,18.4,10.3,37.1,4.8,8.2,34,184.5
1966,8,14.2,22.4,6.1,17.8,10.6,56.5,3.2,7.3,45,156.9
1966,9,14.1,21.5,5.1,17.6,10.5,61.3,2.2,7.4,43,141.5
1966,10,9.2,16.7,0.6,12.5,5.9,132.9,-0.5,8,40,108.5
1966,11,5.6,12.2,-1.8,8.4,2.9,43.3,-2.7,11.7,51,69.5
1966,12,5.9,12.4,-1.5,9.2,2.7,115.1,-2.8,14.2,68,59.9
1967,1,5.4,12.8,-2.9,7.7,3,48.5,-3.7,9.4,44,57
1967,2,5.7,12.5,-0.7,8.1,3.2,83.8,-3.8,12.9,64,84.7
1967,3,6.8,15.8,-0.9,10,3.6,26.4,-4,16.9,57,145.8
1967,4,8.6,20.2,0.7,12.3,5,33.9,-3.9,11.1,48,166
1967,5,8.9,18,-0.2,12,5.8,129.4,-4.8,10.4,51,145.3
1967,6,13.8,22.7,5.2,18,9.6,11.4,2.7,6.8,38,191.5
1967,7,15.4,21.9,8.5,19,11.7,83.7,6.7,7.4,36,122.7
1967,8,14.3,20.7,5.6,17.9,10.8,64.3,4.2,7.8,39,145.5
1967,9,12.9,18.7,5.6,16.4,9.5,115.5,3.5,9.6,54,136.5
1967,10,9.8,17.5,1.1,13,6.6,94.4,-1.4,13.3,55,102
1967,11,6.2,13.4,-1.7,9.4,3.1,45.7,-3.8,9.4,44,81.2
1967,12,5.3,14,-4.5,7.7,2.9,45.5,-6.4,11.8,48,55.8
1968,1,5.7,13.6,-1.4,8.1,3.3,96.1,-3.9,12.3,70,48.7
1968,2,3.2,8.2,-3.9,5.9,0.6,15.9,-8,8.6,44,115.6
1968,3,6.4,13.8,-0.9,10,2.9,41.5,-4,12.2,52,119
1968,4,7.3,15.5,-3.7,11,3.7,58.6,-7.4,9.2,45,171.5
1968,5,9.2,19.6,1.6,13,5.4,51.8,-1.6,7.3,38,191.3
1968,6,13.8,22.5,5.6,17.7,9.9,51.4,2.7,6.6,36,236.6
1968,7,14.2,22.5,8.1,17.6,10.8,15.9,5.8,5.8,34,173.2
